經度,緯度,調查日期，採西元八碼格式 yyyymmdd，例如：20180705,分類名稱,鑑定層級,物種名稱,調查者,調查方法,數量,數量單位，如隻、%、cell/L等,學名,模糊化資訊
121.6,23.93,20230317,鳥綱,種,鳳頭蒼鷹,何瑞暘、劉芝芬、張鳳珍,穿越線法、樣區調查法,1,隻,Accipiter trivirgatus,有模糊化
121.17,22.76,20230216,鷹科,種,松雀鷹(台灣特有亞種),何季耕,定點法,1,隻,Accipiter virgatus fuscipectus,有模糊化
121.60633,23.944777,20230207,鳥綱,種,"赤腰燕,斑腰燕",何瑞暘、劉芝芬、張鳳珍,穿越線法、樣區調查法,8,隻,Cecropis striolata,未模糊化
121.173,22.761111,20230505,椋鳥科,種,家八哥,何季耕,定點法,1,隻,Acridotheres tristis tristis,未模糊化
120.56266,24.32425,20230123,鳥綱,種,,蔣忠祐,穿越線,8,隻,Fulica atra,未模糊化
120.53397,24.31025,20230123,鳥綱,種,磯鷸,蔣忠祐,群集,1,隻,Actitis hypoleucos,未模糊化
120.86,22.87,20231205,雁鴨科,種,鴛鴦,野聲環境生態有限公司,紅外線自動相機,1,隻次,Aix galericulata,有模糊化
121.61,23.94,20230207,鳥綱,種,翠鳥,何瑞暘、劉芝芬、張鳳珍,穿越線法、樣區調查法,1,隻,Alcedo atthis,有模糊化
121.61,23.94,20230207,鳥綱,種,白腹秧雞,何瑞暘、劉芝芬、張鳳珍,穿越線法、樣區調查法,1,隻,Amaurornis phoenicurus,有模糊化
120.53397,24.31025,20230123,鳥綱,種,,蔣忠祐,群集,78,隻,Ardea alba,未模糊化
120.55061,24.315111,20230123,鳥綱,種,,蔣忠祐,群集,55,隻,Anas platyrhynchos,未模糊化
120.42,22.48,20230122,鶲科,種,"鵲鴝,鵲鴝(大陸亞種),鵲鴝大陸亞種",陳俊強,穿越線,5,隻,Copsychus saularis,有模糊化
121.173,22.761111,20230505,雨燕科,種,小雨燕,何季耕,定點法,1,隻,Apus nipalensis kuntzi,未模糊化
120.55061,24.315111,20230123,鳥綱,種,,蔣忠祐,群集,5,隻,Pycnonotus sinensis,未模糊化
120.35025,22.652888,20230515,八哥科,種,灰頭椋鳥,葉昭瑜、李俊輝,目視法,5,隻,Sturnia malabarica,未模糊化
120.56266,24.32425,20230123,鳥綱,種,,蔣忠祐,穿越線,5,隻,Zosterops simplex,未模糊化
121.14730,22.775805,20230217,雁鴨科,種,疣鼻棲鴨,何季耕,定點法,4,隻,Cairina moschata,未模糊化
120.56266,24.32425,20230123,鳥綱,種,,蔣忠祐,穿越線,4,隻,Gallinula chloropus,未模糊化
120.53397,24.31025,20230327,鳥綱,種,,蔣忠祐,群集,4,隻,Hirundo tahitica,未模糊化
120.55061,24.315111,20230123,鳥綱,種,,蔣忠祐,群集,4,隻,Lonchura punctulata,未模糊化
121.6,23.93,20230630,鳥綱,種,"翠翼鳩,綠背金鳩",何瑞暘、劉芝芬、張鳳珍,穿越線法、樣區調查法,1,隻,Chalcophaps indica,有模糊化
120.41797,22.483222,20230122,啄木鳥科,種,小啄木,陳俊強,穿越線,4,隻,Yungipicus canicapillus,未模糊化
121.158,22.762888,20230505,鳩鴿科,種,岩鴿,何季耕,定點法,1,隻,Columba livia,未模糊化
121.166,22.756,20230506,鶲科,種,白腰鵲鴝,何季耕,穿越線法,1,隻,Copsychus malabaricus,未模糊化
121.6,23.94,20230117,鳥綱,種,小雨燕,何瑞暘、劉芝芬、張鳳珍,穿越線法、樣區調查法,3,隻,Apus nipalensis,有模糊化
121.60455,23.926444,20230207,鳥綱,種,山紅頭,何瑞暘、劉芝芬、張鳳珍,穿越線法、樣區調查法,1,隻,Cyanoderma ruficeps,未模糊化
120.55061,24.315111,20230512,鳥綱,種,,蔣忠祐,群集,1,隻,Dendrocitta formosae,未模糊化
121.61,23.94,20230317,鳥綱,種,"紅嘴黑鵯,紅嘴黑鵯(白頭亞種),紅嘴黑鵯白頭亞種",何瑞暘、劉芝芬、張鳳珍,穿越線法、樣區調查法,3,隻,Hypsipetes leucocephalus,有模糊化
121.158,22.762888,20230216,卷尾科,種,大卷尾(台灣亞種),何季耕,穿越線法,1,隻,Dicrurus macrocercus harterti,未模糊化
121.173,22.761111,20230505,畫眉科,種,小彎嘴,何季耕,定點法,3,隻,Pomatorhinus musicus,未模糊化
120.55975,24.34275,20230327,鳥綱,種,,蔣忠祐,群集,3,隻,Streptopelia tranquebarica,未模糊化
120.16,23.56,20230820,繡眼科,種,"日菲繡眼,綠繡眼(指名亞種),綠繡眼",王昭湄,群集計數法,3,隻次,Zosterops japonicus,有模糊化
120.56,24.34,20230123,鳥綱,種,白尾八哥,蔣忠祐,群集,22,隻,Acridotheres javanicus,有模糊化
120.35,22.65,20230220,鷺科,種,"黑冠麻鷺,黑冠麻鷺指名亞種",葉昭瑜、李俊輝,目視法,1,隻,Gorsachius melanolophus,有模糊化
120.53397,24.31025,20230123,鳥綱,種,,蔣忠祐,群集,21,隻,Ardea cinerea,未模糊化
121.166,22.756,20230217,葦鶯科,種,東方大葦鶯,何季耕,穿越線法,2,隻,Acrocephalus orientalis,未模糊化
121.173,22.761111,20230216,樹鶯科,種,遠東樹鶯(東北亞種),何季耕,定點法,1,隻,Horornis canturians borealis,未模糊化
120.55061,24.315111,20230327,鳥綱,種,中白鷺,蔣忠祐,群集,2,隻,Ardea intermedia,未模糊化
